author,categories,categoryDetails,city,country,domain,gender,impressions,interest,queryId,queryName,reachEstimate,sentiment,url,impact
,[9538835],"[{'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Pasto,Colombia,twitter.com,male,423,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,positive,http://twitter.com/1/statuses/1357603569998921728,0.0
,[],[],Cali,Colombia,twitter.com,unknown,1305,['Family & Parenting'],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,512.0,negative,http://twitter.com/1/statuses/1357602993517035528,0.0
,[],[],Bogota,Colombia,twitter.com,female,2456,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1548.0,positive,http://twitter.com/1/statuses/1357602988316123137,4.4
,[9538835],"[{'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",,Colombia,globedia.com,unknown,0,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,105.0,neutral,http://co.globedia.com/lorena-sanchez-cientifica-espanola-desarrolla-vacuna-covid-inmunidad-vida,26.0
,[],[],Bogota,Colombia,twitter.com,unknown,25,['Games'],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,negative,http://twitter.com/1/statuses/1357602754848555010,0.0
,"[9538858, 9538835, 9546697]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9546697', 'name': 'ANNOYED', 'parentId': '9546694', 'parentName': 'EMOTION'}]",Bogota,Colombia,twitter.com,female,1099,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,270.0,negative,http://twitter.com/1/statuses/1357602741061906433,0.0
,[9546688],"[{'id': '9546688', 'name': ""UCI's"", 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,male,1670,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,888.0,negative,http://twitter.com/1/statuses/1357602558978772993,0.0
,[],[],Bogota,Colombia,twitter.com,unknown,269,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357602279269031936,0.0
,"[9538858, 9538835]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,unknown,483,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,positive,http://twitter.com/1/statuses/1357602163816595458,0.0
,"[9538858, 9538835]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,unknown,4445,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,2768.0,neutral,http://twitter.com/1/statuses/1357601613213544448,20.2
,[9538835],"[{'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Riohacha,Colombia,twitter.com,unknown,1417,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,634.0,neutral,http://twitter.com/1/statuses/1357601021481132033,0.0
,[9538840],"[{'id': '9538840', 'name': 'RECOVERY', 'parentId': '9538829', 'parentName': 'THEME'}]",Barranquilla,Colombia,twitter.com,male,266849,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,24827.0,neutral,http://twitter.com/1/statuses/1357600908658565121,59.5
,[],[],Cartagena,Colombia,twitter.com,unknown,330682,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,27167.0,neutral,http://twitter.com/1/statuses/1357600861682237443,61.2
,[9538836],"[{'id': '9538836', 'name': 'DEATH', 'parentId': '9538829', 'parentName': 'THEME'}]",Barranquilla,Colombia,twitter.com,male,266849,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,24827.0,neutral,http://twitter.com/1/statuses/1357600737044357122,59.5
,[9538853],"[{'id': '9538853', 'name': 'CANCELLATIONS/CLOSINGS', 'parentId': '9538829', 'parentName': 'THEME'}]",,Colombia,caracoltv.com,unknown,0,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1507.0,neutral,https://noticias.caracoltv.com/bogota/pico-y-cedula-en-bogota-este-viernes-5-de-febrero,35.7
,[],[],Bogota,Colombia,twitter.com,unknown,29,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,negative,http://twitter.com/1/statuses/1357600526033125378,0.0
,"[9538858, 9538835]","[{'id': '9538858', 'name': 'VACCINE BOGOTA', 'parentId': '9538829', 'parentName': 'THEME'}, {'id': '9538835', 'name': 'VACCINE', 'parentId': '9538829', 'parentName': 'THEME'}]",Bogota,Colombia,twitter.com,unknown,1421,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,638.0,neutral,http://twitter.com/1/statuses/1357600319241396229,0.0
,[],[],Bogota,Colombia,twitter.com,unknown,398,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,0.0,neutral,http://twitter.com/1/statuses/1357600298068570113,0.0
,[],[],Bogota,Colombia,twitter.com,unknown,1421,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,638.0,neutral,http://twitter.com/1/statuses/1357600241806172161,0.0
,[],[],Medellin,Colombia,twitter.com,male,1880,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,1080.0,neutral,http://twitter.com/1/statuses/1357600191151489027,1.5
,[],[],Bogota,Colombia,twitter.com,female,54622,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,12260.0,neutral,http://twitter.com/1/statuses/1357600094913191937,46.5
,[],[],Bogota,Colombia,twitter.com,male,1670,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,888.0,neutral,http://twitter.com/1/statuses/1357600081902460929,0.0
,[],[],Bogota,Colombia,twitter.com,unknown,1376728,[],2000312045,ADHOC: Corona Virus Colombia - NO BORRAR,50864.0,neutral,http://twitter.com/1/statuses/1357600010997751810,73.2
